"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"692","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2019,246,253.2685,300.686686263787,FALSE
"693","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2019,374,253.2685,457.141547409173,FALSE
"694","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2019,311,253.2685,380.136420439178,FALSE
"695","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2019,343,253.2685,419.250135725525,FALSE
"696","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2019,300,253.2685,366.691080809497,FALSE
"697","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2019,361,253.2685,441.251600574094,FALSE
"698","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2019,204,253.2685,249.349934950458,FALSE
"699","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2019,247,253.2685,301.908989866486,FALSE
"700","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2019,364,253.2685,444.918511382189,FALSE
"701","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2019,284,253.2685,347.134223166324,FALSE
"702","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2019,311,253.2685,380.136420439178,FALSE
"703","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2019,192,253.2685,234.682291718078,FALSE
"704","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2019,348,253.2685,425.361653739016,FALSE
"705","General Government","Department of Small Business Services","Department of Small Business Services",2019,211452,253.2685,258458.541397766,TRUE
"706","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2019,47079,253.2685,57544.8313114343,FALSE
"707","General Government","Business Integrity Commission","Business Integrity Commission",2019,8769,253.2685,10718.3802920616,FALSE
"708","General Government","Department of Finance","Department of Finance",2019,292333,253.2685,357319.679087609,FALSE
"709","General Government","Department of Design and Construction","Department of Design and Construction",2019,145538,253.2685,177891.621729508,FALSE
"710","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2019,477144,253.2685,583214.830205888,FALSE
"711","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2019,467280,253.2685,571158.027468872,FALSE
"712","General Government","Department of Records and Information Services","Department of Records and Information Services",2019,9575,253.2685,11703.5569958364,FALSE
"713","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2019,40291,253.2685,49247.8344563181,FALSE
"714","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2019,NA,253.2685,NA,FALSE
"715","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2019,58066,253.2685,70974.2809942808,FALSE
"716","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2019,18409,253.2685,22501.3870220734,FALSE
"717","Public Safety and Judicial","Police Department","Police Department",2019,5668823,253.2685,6929022.77595911,FALSE
"718","Public Safety and Judicial","Fire Department","Fire Department",2019,2107344,253.2685,2575814.16332469,FALSE
"719","Public Safety and Judicial","Department of Correction","Department of Correction",2019,1350148,253.2685,1650290.76457593,FALSE
"720","Public Safety and Judicial","Board of Correction","Board of Correction",2019,2594,253.2685,3170.65554539945,FALSE
"721","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2019,NA,253.2685,NA,FALSE
"722","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2019,47886,253.2685,58531.2303188119,FALSE
"723","Public Safety and Judicial","Department of Probation","Department of Probation",2019,102575,253.2685,125377.79204678,FALSE
"724","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2019,117917,253.2685,144130.373919378,FALSE
"725","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2019,82420,253.2685,100742.262934396,FALSE
"726","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2019,110501,253.2685,135065.770401767,FALSE
"727","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2019,69748,253.2685,85253.2316810026,FALSE
"728","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2019,16787,253.2685,20518.8105784967,FALSE
"729","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2019,22984,253.2685,28093.4260044182,FALSE
"730","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2019,2601,253.2685,3179.21167061834,FALSE
"731","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2019,685,253.2685,837.277967848351,FALSE
"732","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2019,889,253.2685,1086.62790279881,FALSE
"733","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2019,578,253.2685,706.49148235963,FALSE
"734","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2019,621,253.2685,759.050537275658,FALSE
"735","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2019,335657,253.2685,410274.760370911,FALSE
"736","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2019,169119,253.2685,206714.762984738,FALSE
"737","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2019,71697,253.2685,87635.5014026616,FALSE
"738","Education","Department of Education","Department of Education",2019,26905467,253.2685,32886649.2463808,FALSE
"739","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2019,1092299,253.2685,1335121.00292377,FALSE
"740","City University","Hunter Campus Schools","Hunter Campus Schools",2019,21819,253.2685,26669.4423072747,FALSE
"741","City University","Educational Aid","Educational Aid",2019,NA,253.2685,NA,FALSE
"742","Social Services","Administration for Children's Services","Administration for Children's Services",2019,3079745,253.2685,3764383.40889214,TRUE
"743","Social Services","Department of Social Services","Department of Social Services",2019,10188335,253.2685,12453238.5759974,TRUE
"744","Social Services","Department of Homeless Services","Department of Homeless Services",2019,2182752,253.2685,2667985.63339697,TRUE
"745","Social Services","Department for the Aging","Department for the Aging",2019,381914,253.2685,466814.858120927,TRUE
"746","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2019,1346282,253.2685,1645565.3388479,FALSE
"747","Environmental Protection","Department of Sanitation","Department of Sanitation",2019,1741457,253.2685,2128589.16504421,FALSE
"748","Transportation Services","Department of Transportation","Department of Transportation",2019,768961,253.2685,939903.800634505,FALSE
"749","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2019,1298892,253.2685,1587640.37111603,FALSE
"750","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2019,21,253.2685,25.6683756566648,FALSE
"751","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2019,198855,253.2685,243061.182914575,FALSE
"752","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2019,447625,253.2685,547133.650157836,FALSE
"753","Housing","Housing Preservation and Development","Housing Preservation and Development",2019,1057105,253.2685,1292103.24993041,TRUE
"754","Housing","Department of Buildings","Department of Buildings",2019,171768,253.2685,209952.645228285,FALSE
"755","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2019,1448,253.2685,1769.89561670717,TRUE
"756","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2019,1747449,253.2685,2135913.20823158,TRUE
"757","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2019,908909,253.2685,1110962.74522493,FALSE
"758","Libraries","New York Research Libraries","New York Research Libraries",2019,28458,253.2685,34784.3159255889,FALSE
"759","Libraries","New York Public Library","New York Public Library",2019,145511,253.2685,177858.619532236,FALSE
"760","Libraries","Brooklyn Public Library","Brooklyn Public Library",2019,109823,253.2685,134237.048559138,FALSE
"761","Libraries","Queens Borough Public Library","Queens Borough Public Library",2019,114204,253.2685,139591.960642559,FALSE
"762","Pensions","Pension Contributions","Pension Contributions",2019,9828626,253.2685,12013564.9693744,FALSE
"763","Judgments and Claims","Judgments and Claims","Judgments and Claims",2019,705751,253.2685,862641.989907944,FALSE
"764","Benefit Payments","Benefit Payments","Benefit Payments",2019,5742655,253.2685,7019267.89555353,FALSE
"765","Lease Payments","Lease Payments","Lease Payments",2019,96489,253.2685,117938.852320758,FALSE
"766","Other","Miscellaneous","Miscellaneous",2019,651012,253.2685,795734.31299984,FALSE
"767","Transfers","General Debt Service Fund","Debt Service",2019,3513236,253.2685,4294241.01992944,FALSE
"768","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2019,NA,253.2685,NA,FALSE
"769","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2019,744410,253.2685,909895.024884658,FALSE
"770","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2019,2763408,253.2685,3377723.55412537,FALSE
"771","General Government","Mayoralty","Mayoralty",2018,112523,248.126,140387.777310721,FALSE
