"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"254","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2022,21536000,282.025,23639468.3308217,FALSE
"255","Public Safety and Judicial","Police Department","Police Department",2022,5617677000,282.025,6166367827.55784,FALSE
"256","Public Safety and Judicial","Fire Department","Fire Department",2022,2475973000,282.025,2717806710.69232,FALSE
"257","Public Safety and Judicial","Department of Correction","Department of Correction",2022,1358510000,282.025,1491198649.80055,FALSE
"258","Public Safety and Judicial","Board of Correction","Board of Correction",2022,2228000,282.025,2445613.64418048,FALSE
"259","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2022,NA,282.025,NA,FALSE
"260","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2022,64901000,282.025,71240022.9447744,FALSE
"261","Public Safety and Judicial","Department of Probation","Department of Probation",2022,99417000,282.025,109127276.330113,FALSE
"262","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2022,152403000,282.025,167288535.105044,FALSE
"263","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2022,97220000,282.025,106715690.52389,FALSE
"264","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2022,124584000,282.025,136752392.390746,FALSE
"265","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2022,84045000,282.025,92253859.3918979,FALSE
"266","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2022,21798000,282.025,23927058.4451733,FALSE
"267","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2022,25798000,282.025,28317747.2138995,FALSE
"268","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2022,993000,282.025,1089988.48683627,FALSE
"269","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2022,689000,282.025,756296.140413084,FALSE
"270","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2022,826000,282.025,906677.230741956,FALSE
"271","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2022,605000,282.025,664091.676269834,FALSE
"272","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2022,592000,282.025,649821.937771474,FALSE
"273","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2022,456491000,282.025,501077476.681145,FALSE
"274","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2022,584337000,282.025,641410475.762787,FALSE
"275","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2022,71958000,282.025,78986295.6049996,FALSE
"276","Education","Department of Education","Department of Education",2022,31305761000,282.025,34363463304.7815,FALSE
"277","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2022,1084559000,282.025,1190490255.08022,FALSE
"278","City University","Hunter Campus Schools","Hunter Campus Schools",2022,24023000,282.025,26369379.0727772,FALSE
"279","City University","Educational Aid","Educational Aid",2022,NA,282.025,NA,FALSE
"280","Social Services","Administration for Children's Services","Administration for Children's Services",2022,2635141000,282.025,2892520998.17747,TRUE
"281","Social Services","Department of Social Services","Department of Social Services",2022,10892357000,282.025,11956237386.214,TRUE
"282","Social Services","Department of Homeless Services","Department of Homeless Services",2022,2546086000,282.025,2794767801.10274,TRUE
"283","Social Services","Department for the Aging","Department for the Aging",2022,500222000,282.025,549079779.317436,TRUE
"284","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2022,1349501000,282.025,1481309721.02119,FALSE
"285","Environmental Protection","Department of Sanitation","Department of Sanitation",2022,2023111000,282.025,2220712686.3966,FALSE
"286","Transportation Services","Department of Transportation","Department of Transportation",2022,958145000,282.025,1051729122.57779,FALSE
"287","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2022,1098440000,282.025,1205727042.7799,FALSE
"288","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2022,2692000,282.025,2954933.54135272,FALSE
"289","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2022,222897000,282.025,244667838.62069,FALSE
"290","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2022,497008000,282.025,545551860.891765,FALSE
"291","Housing","Housing Preservation and Development","Housing Preservation and Development",2022,1167016000,282.025,1281001011.03094,TRUE
"292","Housing","Department of Buildings","Department of Buildings",2022,193683000,282.025,212600443.198298,FALSE
"293","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2022,1183000,282.025,1298546.20335077,TRUE
"294","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2022,2571530000,282.025,2822696972.36061,TRUE
"295","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2022,2127150000,282.025,2334913403.59897,FALSE
"296","Libraries","New York Research Libraries","New York Research Libraries",2022,30653000,282.025,33646945.7069409,FALSE
"297","Libraries","New York Public Library","New York Public Library",2022,155003000,282.025,170142482.804716,FALSE
"298","Libraries","Brooklyn Public Library","Brooklyn Public Library",2022,117408000,282.025,128875496.739651,FALSE
"299","Libraries","Queens Borough Public Library","Queens Borough Public Library",2022,121378000,282.025,133233255.342611,FALSE
"300","Pensions","Pension Contributions","Pension Contributions",2022,9599122000,282.025,10536689288.7581,FALSE
"301","Judgments and Claims","Judgments and Claims","Judgments and Claims",2022,1241765000,282.025,1363050909.72432,FALSE
"302","Benefit Payments","Benefit Payments","Benefit Payments",2022,8556605000,282.025,9392347367.98156,FALSE
"303","Lease Payments","Lease Payments","Lease Payments",2022,139906000,282.025,153570925.719351,FALSE
"304","Other","Miscellaneous","Miscellaneous",2022,1608436000,282.025,1765535470.10371,FALSE
"305","Transfers","General Debt Service Fund","Debt Service",2022,4014600000,282.025,4406714782.73203,FALSE
"306","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2022,NA,282.025,NA,FALSE
"307","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2022,837724000,282.025,919546339.523092,FALSE
"308","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2022,2139340000,282.025,2348294027.62167,FALSE
"309","General Government","Mayoralty","Mayoralty",2021,130139000,263.1505,153095891.396748,FALSE
"310","General Government","Board of Elections","Board of Elections",2021,230846000,263.1505,271567893.908619,FALSE
"311","General Government","Campaign Finance Board","Campaign Finance Board",2021,141343000,263.1505,166276309.005683,FALSE
"312","General Government","Office of the Actuary","Office of the Actuary",2021,6082000,263.1505,7154882.17578914,FALSE
"313","General Government","Borough President-Manhattan","Borough President-Manhattan",2021,5235000,263.1505,6158468.95597766,FALSE
"314","General Government","Borough President-Bronx","Borough President-Bronx",2021,4882000,263.1505,5743198.74748481,FALSE
"315","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2021,6669000,263.1505,7845430.65280134,FALSE
"316","General Government","Borough President-Queens","Borough President-Queens",2021,5917000,263.1505,6960775.70439729,FALSE
"317","General Government","Borough President-Staten Island","Borough President-Staten Island",2021,4542000,263.1505,5343221.77613191,FALSE
"318","General Government","Office of the Comptroller","Office of the Comptroller",2021,83346000,263.1505,98048472.5128776,FALSE
"319","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2021,5665000,263.1505,6664322.18445338,FALSE
"320","General Government","Law Department","Law Department",2021,247515000,263.1505,291177353.130623,FALSE
"321","General Government","Department of City Planning","Department of City Planning",2021,38298000,263.1505,45053876.6143329,FALSE
"322","General Government","Department of Investigation","Department of Investigation",2021,46187000,263.1505,54334518.7525769,FALSE
"323","General Government","Department of Veterans Service","Department of Veterans Service",2021,5377000,263.1505,6325518.16166034,FALSE
"324","General Government","Public Advocate","Public Advocate",2021,4615000,263.1505,5429099.18468709,FALSE
"325","General Government","City Council","City Council",2021,75091000,263.1505,88337266.9290007,FALSE
"326","General Government","City Clerk","City Clerk",2021,5205000,263.1505,6123176.87027005,FALSE
"327","General Government","Financial Information Services Agency","Financial Information Services Agency",2021,112032000,263.1505,131794764.866493,FALSE
"328","General Government","Office of Payroll Administration","Office of Payroll Administration",2021,14584000,263.1505,17156659.2653254,FALSE
"329","General Government","Independent Budget Office","Independent Budget Office",2021,4707000,263.1505,5537328.24752376,FALSE
"330","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2021,1113000,263.1505,1309336.37975227,FALSE
"331","General Government","Civil Service Commission","Civil Service Commission",2021,1007000,263.1505,1184637.67691872,FALSE
"332","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2021,6443000,263.1505,7579563.60713736,FALSE
"333","General Government","Districting Commission","Districting Commission",2021,NA,263.1505,NA,FALSE
"334","General Government","Commission on Human Rights","Commission on Human Rights",2021,11835000,263.1505,13922727.8116515,TRUE
"335","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2021,695873000,263.1505,818626985.253686,TRUE
"336","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2021,2436000,263.1505,2865717.3594578,FALSE
